Price,Location,NumberOfRooms,square,Agency,floor
105 000,Binə q.,2 otaqlı,65 m²,,3/5 mərtəbə
700 000,Nərimanov r.,4 otaqlı,165 m²,Agentlik,3/17 mərtəbə
450 000,28 May m.,42 m²,,Agentlik,
156 000,Nardaran q.,12 sot,,Agentlik,
345 000,Gənclik m.,3 otaqlı,110 m²,Agentlik,2/18 mərtəbə
65 800,Masazır q.,1 otaqlı,47 m²,,9/16 mərtəbə
170 000,Həzi Aslanov m.,40 m²,,Agentlik,
156 000,Həzi Aslanov m.,3 otaqlı,75 m²,Agentlik,1/5 mərtəbə
66 000,Xətai r.,2 otaqlı,100 m²,,
280 000,Yasamal r.,3 otaqlı,97 m²,,13/16 mərtəbə
636 318,Ağ şəhər q.,2 otaqlı,100.8 m²,Kompleks,7/7 mərtəbə
747 982,Ağ şəhər q.,3 otaqlı,113.5 m²,Kompleks,8/8 mərtəbə
678 888,Ağ şəhər q.,3 otaqlı,104 m²,Kompleks,8/8 mərtəbə
635 130,Ağ şəhər q.,3 otaqlı,91.2 m²,Kompleks,8/8 mərtəbə
204 986,Nardaran q.,1 otaqlı,51.5 m²,Kompleks,14/14 mərtəbə
165 000,Nardaran q.,22 sot,,Agentlik,
283 081,Nardaran q.,2 otaqlı,57.4 m²,Kompleks,11/12 mərtəbə
345 000,Həzi Aslanov m.,3 otaqlı,105 m²,Agentlik,9/15 mərtəbə
387 000,Nərimanov r.,3 otaqlı,100 m²,,14/20 mərtəbə
251 000,20 Yanvar m.,3 otaqlı,150 m²,Agentlik,18/20 mərtəbə
184 000,Biləcəri q.,2 otaqlı,70 m²,Agentlik,7/14 mərtəbə
255 000,Elmlər Akademiyası m.,2 otaqlı,95 m²,Agentlik,17/17 mərtəbə
135 000,Biləcəri q.,2 otaqlı,40 m²,Agentlik,1/17 mərtəbə
107 000,Memar Əcəmi m.,1 otaqlı,45 m²,Agentlik,1/5 mərtəbə
620 000,28 May m.,4 otaqlı,200 m²,Agentlik,5/18 mərtəbə
282 000,Nərimanov r.,4 otaqlı,120 m²,Agentlik,6/9 mərtəbə
345 000,Nizami m.,3 otaqlı,129 m²,Agentlik,13/18 mərtəbə
480 000,Sulutəpə q.,6 otaqlı,300 m²,,
265 000,Buzovna q.,60 m²,,Agentlik,
200 000,Qəbələ,3 otaqlı,105 m²,,
