Price,Location,NumberOfRooms,square,Agency,floor
170 000,İnşaatçılar m.,2 otaqlı,50 m²,Agentlik,4/5 mərtəbə
480 000,Şüvəlan q.,18 sot,,Agentlik,
1 250 000,Buzovna q.,7 otaqlı,600 m²,Agentlik,
250 000,Şüvəlan q.,4 otaqlı,140 m²,Agentlik,
235 000,Şüvəlan q.,4 otaqlı,160 m²,Agentlik,
99 100,Bakıxanov q.,2 otaqlı,45 m²,Agentlik,12/14 mərtəbə
409 500,Koroğlu m.,3 otaqlı,146.4 m²,,13/16 mərtəbə
270 000,Şüvəlan q.,4 otaqlı,150 m²,Agentlik,
350 000,Şah İsmayıl Xətai m.,3 otaqlı,130 m²,Agentlik,4/20 mərtəbə
230 000,28 May m.,2 otaqlı,54 m²,Agentlik,7/16 mərtəbə
167 000,20 Yanvar m.,2 otaqlı,50 m²,Agentlik,9/20 mərtəbə
167 900,İnşaatçılar m.,3 otaqlı,75 m²,Agentlik,5/5 mərtəbə
290 000,Bayıl q.,2 otaqlı,101 m²,Agentlik,12/17 mərtəbə
90 000,Novxanı q.,6 sot,,,
75 000,Şüvəlan q.,4.5 sot,,Agentlik,
185 000,Memar Əcəmi m.,2 otaqlı,65 m²,,3/9 mərtəbə
177 000,Şüvəlan q.,4 otaqlı,120 m²,Agentlik,
245 000,Novxanı q.,6 otaqlı,370 m²,,
65 000,Sabunçu q.,3 otaqlı,90 m²,,
129 000,Neftçilər m.,2 otaqlı,40 m²,Agentlik,4/5 mərtəbə
543 000,Nəriman Nərimanov m.,4 otaqlı,147 m²,Agentlik,4/15 mərtəbə
590 000,Elmlər Akademiyası m.,4 otaqlı,220 m²,Agentlik,5/19 mərtəbə
148 000,20 Yanvar m.,2 otaqlı,48 m²,Agentlik,3/5 mərtəbə
190 000,Masazır q.,9 otaqlı,215 m²,,
320 000,Badamdar q.,3 otaqlı,136 m²,Agentlik,3/14 mərtəbə
192 900,8-ci mikrorayon q.,2 otaqlı,65 m²,Agentlik,7/19 mərtəbə
150 000,Nardaran q.,19 sot,,,
188 000,Elmlər Akademiyası m.,2 otaqlı,42 m²,Agentlik,4/5 mərtəbə
70 000,Müşfiqabad q.,2 otaqlı,50 m²,,1/9 mərtəbə
1 035 994,Nardaran q.,5 otaqlı,216.4 m²,Kompleks,
247 000,Novxanı q.,4 otaqlı,165 m²,,
150 000,Həzi Aslanov m.,3 otaqlı,90 m²,Agentlik,10/10 mərtəbə
319 405,Nardaran q.,2 otaqlı,70.9 m²,Kompleks,3/9 mərtəbə
193 000,20 Yanvar m.,2 otaqlı,60 m²,Agentlik,5/17 mərtəbə
183 000,20 Yanvar m.,2 otaqlı,50 m²,Agentlik,5/20 mərtəbə
113 000,NZS q.,3 otaqlı,65 m²,Agentlik,1/2 mərtəbə
135 000,Əhmədli m.,3 otaqlı,72 m²,Agentlik,12/16 mərtəbə
178 000,20 Yanvar m.,2 otaqlı,50 m²,Agentlik,12/20 mərtəbə
245 000,Həzi Aslanov m.,3 otaqlı,115 m²,Agentlik,11/19 mərtəbə
260 000,20 Yanvar m.,3 otaqlı,125 m²,Agentlik,3/18 mərtəbə
155 000,İçəri Şəhər m.,3 otaqlı,51 m²,,
260 000,Qaraçuxur q.,7 otaqlı,175 m²,Agentlik,
170 000,20 Yanvar m.,2 otaqlı,50 m²,Agentlik,10/20 mərtəbə
300 000,20 Yanvar m.,3 otaqlı,100 m²,Agentlik,4/20 mərtəbə
380 000,Həzi Aslanov m.,68 m²,,,
184 000,Həzi Aslanov m.,2 otaqlı,55 m²,Agentlik,13/15 mərtəbə
299 000,20 Yanvar m.,3 otaqlı,100 m²,Agentlik,15/20 mərtəbə
181 000,İnşaatçılar m.,2 otaqlı,63 m²,,2/12 mərtəbə
1 400 000,Elmlər Akademiyası m.,200 m²,,,
290 000,İnşaatçılar m.,3 otaqlı,115 m²,Agentlik,9/16 mərtəbə
111 500,Hövsan q.,2 otaqlı,58 m²,,4/7 mərtəbə
180 000,20 Yanvar m.,2 otaqlı,50 m²,Agentlik,5/14 mərtəbə
442 000,Sea Breeze q.,3 otaqlı,138 m²,Agentlik,
148 000,28 May m.,1 otaqlı,31 m²,Agentlik,16/20 mərtəbə
295 000,20 Yanvar m.,3 otaqlı,130 m²,Agentlik,9/10 mərtəbə
147 000,Xırdalan,4 otaqlı,108 m²,,3/5 mərtəbə
125 000,Biləcəri q.,3 otaqlı,100 m²,,
650 000,Nəsimi r.,3 otaqlı,200 m²,Agentlik,20/22 mərtəbə
195 000,Ağ şəhər q.,3 otaqlı,70 m²,,2/4 mərtəbə
333 870,Azadlıq Prospekti m.,3 otaqlı,107.7 m²,Kompleks,5/13 mərtəbə
299 000,Badamdar q.,3 otaqlı,110 m²,Agentlik,18/19 mərtəbə
245 000,Əhmədli m.,2 otaqlı,87 m²,Agentlik,13/17 mərtəbə
185 000,Elmlər Akademiyası m.,2 otaqlı,56 m²,,15/18 mərtəbə
250 000,Sahil m.,3 otaqlı,90 m²,Agentlik,9/9 mərtəbə
455 000,Gənclik m.,3 otaqlı,120 m²,Agentlik,8/16 mərtəbə
138 000,Biləcəri q.,3 otaqlı,65 m²,,2/5 mərtəbə
157 000,Əhmədli m.,3 otaqlı,80 m²,,2/9 mərtəbə
220 000,Əhmədli m.,3 otaqlı,95 m²,Agentlik,8/18 mərtəbə
136 000,Hövsan q.,3 otaqlı,76 m²,,11/12 mərtəbə
60 000,Pirşağı q.,2.5 sot,,Agentlik,
255 000,20 Yanvar m.,2 otaqlı,86 m²,,6/16 mərtəbə
80 000,Badamdar q.,2 otaqlı,53 m²,,3/5 mərtəbə
215 000,İnşaatçılar m.,3 otaqlı,80 m²,Agentlik,4/5 mərtəbə
292 500,Koroğlu m.,3 otaqlı,117 m²,,10/20 mərtəbə
299 000,Səbail r.,3 otaqlı,110 m²,Agentlik,18/19 mərtəbə
335 000,Nərimanov r.,3 otaqlı,100 m²,,5/8 mərtəbə
245 000,20 Yanvar m.,3 otaqlı,105 m²,Agentlik,3/18 mərtəbə
225 000,Nardaran q.,2 otaqlı,57 m²,Agentlik,1/7 mərtəbə
460 000,Nəriman Nərimanov m.,4 otaqlı,117 m²,Agentlik,14/16 mərtəbə
188 900,Həzi Aslanov q.,4 otaqlı,110 m²,,4/9 mərtəbə
180 901,Nardaran q.,1 otaqlı,41.7 m²,Kompleks,1/13 mərtəbə
290 000,20 Yanvar m.,3 otaqlı,103 m²,Agentlik,4/18 mərtəbə
100 000,Aşağı Güzdək q.,3 otaqlı,80 m²,,7/10 mərtəbə
230 000,20 Yanvar m.,2 otaqlı,77 m²,Agentlik,14/22 mərtəbə
301 682,Sea Breeze q.,2 otaqlı,93.4 m²,Kompleks,12/16 mərtəbə
410 000,Azadlıq Prospekti m.,6 otaqlı,550 m²,,
91 200,Elmlər Akademiyası m.,1 otaqlı,34 m²,Agentlik,2/4 mərtəbə
295 000,20 Yanvar m.,3 otaqlı,95 m²,Agentlik,13/17 mərtəbə
195 000,Xətai r.,3 otaqlı,75 m²,,6/9 mərtəbə
249 000,Həzi Aslanov m.,4 otaqlı,105 m²,Agentlik,10/17 mərtəbə
210 000,20 Yanvar m.,3 otaqlı,80 m²,Agentlik,19/20 mərtəbə
350 000,İnşaatçılar m.,3 otaqlı,160 m²,Agentlik,16/17 mərtəbə
168 000,Nardaran q.,1 otaqlı,57.8 m²,,7/9 mərtəbə
192 000,Hövsan q.,12 sot,,,
210 000,Günəşli q.,5 otaqlı,220 m²,Agentlik,
236 000,Elmlər Akademiyası m.,3 otaqlı,80 m²,,2/5 mərtəbə
352 400,20 Yanvar m.,3 otaqlı,106.8 m²,Kompleks,14/20 mərtəbə
339 624,20 Yanvar m.,3 otaqlı,106.8 m²,Kompleks,3/20 mərtəbə
240 697,20 Yanvar m.,3 otaqlı,76.9 m²,Kompleks,19/20 mərtəbə
331 200,20 Yanvar m.,3 otaqlı,110.4 m²,Kompleks,1/20 mərtəbə
233 400,20 Yanvar m.,2 otaqlı,77.8 m²,Kompleks,20/20 mərtəbə
404 550,Nəsimi r.,3 otaqlı,130.5 m²,Agentlik,3/14 mərtəbə
300 000,20 Yanvar m.,3 otaqlı,95 m²,Agentlik,17/18 mərtəbə
1 128 215,Elmlər Akademiyası m.,4 otaqlı,205.13 m²,Kompleks,15/18 mərtəbə
95 000,Maştağa q.,5 otaqlı,140 m²,,
10 500,Qax,7500 sot,,,
275 000,Xalqlar Dostluğu m.,3 otaqlı,100 m²,Agentlik,15/16 mərtəbə
350 000,İnşaatçılar m.,3 otaqlı,110 m²,Agentlik,20/23 mərtəbə
720 000,Elmlər Akademiyası m.,5 otaqlı,290 m²,Agentlik,12/17 mərtəbə
276 000,20 Yanvar m.,3 otaqlı,80 m²,Agentlik,5/20 mərtəbə
177 000,Azadlıq Prospekti m.,2 otaqlı,65 m²,,8/9 mərtəbə
380 000,8 Noyabr m.,3 otaqlı,126 m²,,11/18 mərtəbə
295 000,Nərimanov r.,2 otaqlı,65 m²,Agentlik,8/16 mərtəbə
225 000,Həzi Aslanov m.,3 otaqlı,87.5 m²,,12/17 mərtəbə
365 000,Gənclik m.,2 otaqlı,80 m²,,2/11 mərtəbə
255 000,8-ci mikrorayon q.,5 otaqlı,120 m²,,1/9 mərtəbə
223 000,Həzi Aslanov m.,3 otaqlı,85 m²,Agentlik,15/17 mərtəbə
812 900,Elmlər Akademiyası m.,4 otaqlı,147.8 m²,Kompleks,16/18 mərtəbə
1 800 000,Bakıxanov q.,12 sot,,,
148 000,20 Yanvar m.,2 otaqlı,45 m²,Agentlik,3/5 mərtəbə
83 000,Azadlıq Prospekti m.,2 otaqlı,42.5 m²,,3/5 mərtəbə
338 000,Koroğlu m.,3 otaqlı,126.7 m²,,11/17 mərtəbə
395 000,8 Noyabr m.,3 otaqlı,146 m²,,6/16 mərtəbə
270 000,Həzi Aslanov m.,3 otaqlı,114 m²,Agentlik,11/17 mərtəbə
190 000,Nəriman Nərimanov m.,2 otaqlı,65 m²,,4/5 mərtəbə
63 000,Binə q.,3 otaqlı,110 m²,,
179 000,Həzi Aslanov m.,2 otaqlı,55 m²,Agentlik,14/15 mərtəbə
259 000,Qara Qarayev m.,3 otaqlı,100 m²,Agentlik,7/13 mərtəbə
130 000,Memar Əcəmi m.,2 otaqlı,55 m²,Agentlik,5/5 mərtəbə
185 000,28 May m.,2 otaqlı,60 m²,,3/3 mərtəbə
425 000,Həzi Aslanov m.,140 m²,,Agentlik,
139 000,İnşaatçılar m.,2 otaqlı,60 m²,Agentlik,9/16 mərtəbə
289 000,Bayıl q.,3 otaqlı,118 m²,,8/16 mərtəbə
330 000,Nəsimi r.,2 otaqlı,64 m²,Agentlik,8/17 mərtəbə
136 000,Xırdalan,2 otaqlı,63 m²,,11/15 mərtəbə
135 000,Həzi Aslanov m.,40 m²,,Agentlik,
148 000,İnşaatçılar m.,2 otaqlı,75 m²,Agentlik,20/21 mərtəbə
130 603,Nardaran q.,1 otaqlı,43.9 m²,Kompleks,2/14 mərtəbə
185 000,Qara Qarayev m.,2 otaqlı,46 m²,Agentlik,10/17 mərtəbə
325 000,Həzi Aslanov m.,3 otaqlı,120 m²,Agentlik,14/17 mərtəbə
285 000,Yasamal q.,3 otaqlı,85.7 m²,,16/16 mərtəbə
400 000,Qəbələ,6 otaqlı,240 m²,Agentlik,
205 000,Neftçilər m.,4 otaqlı,80 m²,Agentlik,4/5 mərtəbə
285 000,Elmlər Akademiyası m.,3 otaqlı,80 m²,Agentlik,2/5 mərtəbə
305 000,Şah İsmayıl Xətai m.,3 otaqlı,125 m²,Agentlik,2/18 mərtəbə
1 000 000,Həzi Aslanov m.,400 m²,,Agentlik,
205 000,Nəriman Nərimanov m.,2 otaqlı,75 m²,Agentlik,17/20 mərtəbə
268 000,20 Yanvar m.,2 otaqlı,75 m²,Agentlik,8/19 mərtəbə
230 000,Həzi Aslanov m.,3 otaqlı,103 m²,Agentlik,8/17 mərtəbə
150 000,Xalqlar Dostluğu m.,2 otaqlı,90 m²,,17/17 mərtəbə
305 000,Azadlıq Prospekti m.,5 otaqlı,120 m²,Agentlik,5/9 mərtəbə
1 400 000,Bilgəh q.,6 otaqlı,460 m²,Kompleks,
255 000,Badamdar q.,3 otaqlı,141 m²,Agentlik,15/16 mərtəbə
530 000,Novxanı q.,5 otaqlı,300 m²,,
45 000,Masazır q.,1 otaqlı,39 m²,,2/4 mərtəbə
187 000,Həzi Aslanov m.,2 otaqlı,77 m²,Agentlik,10/10 mərtəbə
1 300 000,Şüvəlan q.,7 otaqlı,450 m²,Agentlik,
187 000,Nizami m.,3 otaqlı,80 m²,Agentlik,3/16 mərtəbə
1 581 000,Masazır q.,62 sot,,Agentlik,
279 557,Nardaran q.,1 otaqlı,57.7 m²,Kompleks,19/24 mərtəbə
105 000,Nəriman Nərimanov m.,1 otaqlı,27 m²,Agentlik,2/5 mərtəbə
245 000,Şah İsmayıl Xətai m.,2 otaqlı,60 m²,Agentlik,16/17 mərtəbə
137 000,Həzi Aslanov m.,2 otaqlı,60 m²,Agentlik,9/9 mərtəbə
279 000,Gənclik m.,3 otaqlı,70 m²,Agentlik,2/9 mərtəbə
630 000,Mərdəkan q.,5 otaqlı,270 m²,Agentlik,
193 000,Bayıl q.,2 otaqlı,67 m²,,10/17 mərtəbə
180 000,Biləcəri q.,6 otaqlı,240 m²,,
238 000,Azadlıq Prospekti m.,2 otaqlı,80 m²,,17/17 mərtəbə
126 000,Biləcəri q.,3 otaqlı,65 m²,,5/9 mərtəbə
330 000,Şüvəlan q.,6 otaqlı,360 m²,,
356 000,Ağ şəhər q.,3 otaqlı,120 m²,Agentlik,3/14 mərtəbə
880 000,Nardaran q.,3 otaqlı,132 m²,,4/6 mərtəbə
780 000,Şüvəlan q.,20 sot,,,
305 000,28 May m.,2 otaqlı,83 m²,Agentlik,6/18 mərtəbə
589 000,Ağ şəhər q.,3 otaqlı,137 m²,,5/7 mərtəbə
341 000,Azadlıq Prospekti m.,3 otaqlı,110 m²,Kompleks,3/13 mərtəbə
193 000,Həzi Aslanov m.,2 otaqlı,70 m²,Agentlik,4/16 mərtəbə
238 000,Yeni Yasamal q.,3 otaqlı,88 m²,Agentlik,3/15 mərtəbə
290 000,Nəsimi r.,2 otaqlı,62 m²,Agentlik,12/17 mərtəbə
189 000,Nizami m.,3 otaqlı,75 m²,,3/16 mərtəbə
125 000,Əhmədli m.,2 otaqlı,80 m²,Agentlik,17/17 mərtəbə
295 000,Şah İsmayıl Xətai m.,3 otaqlı,95 m²,Agentlik,15/20 mərtəbə
95 000,Masazır q.,3 otaqlı,77 m²,Agentlik,4/5 mərtəbə
400 000,Gənclik m.,2 otaqlı,98 m²,,7/15 mərtəbə
217 000,Gənclik m.,2 otaqlı,79.3 m²,Agentlik,5/16 mərtəbə
150 000,Nardaran q.,1 otaqlı,57.8 m²,,5/9 mərtəbə
1 290 000,Mərdəkan q.,6 otaqlı,350 m²,Agentlik,
238 000,Xalqlar Dostluğu m.,4 otaqlı,115 m²,Agentlik,1/9 mərtəbə
36 000,Şamaxı,12 sot,,,
144 000,Həzi Aslanov m.,2 otaqlı,60 m²,Agentlik,5/9 mərtəbə
340 000,Sahil m.,3 otaqlı,120 m²,Agentlik,1/3 mərtəbə
510 000,Gənclik m.,4 otaqlı,192.5 m²,Agentlik,14/20 mərtəbə
225 000,Sea Breeze q.,2 otaqlı,76 m²,Agentlik,3/6 mərtəbə
390 000,Köhnə Günəşli q.,8 otaqlı,280 m²,,
215 000,Şüvəlan q.,4 otaqlı,140 m²,Agentlik,
185 000,İnşaatçılar m.,3 otaqlı,92.6 m²,Agentlik,12/21 mərtəbə
535 000,Mərdəkan q.,4 otaqlı,200 m²,Agentlik,
199 000,Nəsimi r.,2 otaqlı,40 m²,Agentlik,3/5 mərtəbə
335 000,28 May m.,3 otaqlı,117.6 m²,,3/15 mərtəbə
98 000,Masazır q.,3 otaqlı,73 m²,Agentlik,3/6 mərtəbə
325 000,Nəsimi r.,3 otaqlı,79 m²,Agentlik,9/14 mərtəbə
165 000,Şüvəlan q.,5.5 sot,,Agentlik,
143 000,Şüvəlan q.,3 otaqlı,100 m²,Agentlik,
225 000,Həzi Aslanov m.,3 otaqlı,85 m²,Agentlik,8/9 mərtəbə
278 000,Nəsimi r.,2 otaqlı,68 m²,Agentlik,9/14 mərtəbə
345 000,Həzi Aslanov m.,3 otaqlı,105 m²,Agentlik,9/15 mərtəbə
432 600,Şah İsmayıl Xətai m.,3 otaqlı,123.6 m²,,20/20 mərtəbə
205 000,İnşaatçılar m.,2 otaqlı,75 m²,Agentlik,18/19 mərtəbə
360 000,Nəsimi r.,3 otaqlı,112 m²,Agentlik,14/14 mərtəbə
170 000,Sulutəpə q.,4 otaqlı,160 m²,Agentlik,
195 000,Mərdəkan q.,3 otaqlı,95 m²,,5/5 mərtəbə
182 000,20 Yanvar m.,2 otaqlı,50 m²,,18/20 mərtəbə
358 000,8 Noyabr m.,3 otaqlı,130 m²,Agentlik,7/12 mərtəbə
150 000,Xırdalan,4 otaqlı,90 m²,Agentlik,10/13 mərtəbə
178 000,Memar Əcəmi m.,2 otaqlı,65 m²,Agentlik,15/18 mərtəbə
260 000,Gənclik m.,3 otaqlı,91 m²,Agentlik,2/5 mərtəbə
249 000,Binəqədi r.,2 otaqlı,67 m²,Agentlik,19/20 mərtəbə
174 308,Dərnəgül m.,1 otaqlı,57.1 m²,Kompleks,10/13 mərtəbə
229 880,Dərnəgül m.,2 otaqlı,82.1 m²,Kompleks,10/14 mərtəbə
280 314,Dərnəgül m.,3 otaqlı,96.6 m²,Kompleks,10/14 mərtəbə
231 712,Dərnəgül m.,2 otaqlı,89.1 m²,Kompleks,8/13 mərtəbə
325 005,Dərnəgül m.,3 otaqlı,138.3 m²,Kompleks,4/13 mərtəbə
293 123,Dərnəgül m.,3 otaqlı,114.9 m²,Kompleks,9/14 mərtəbə
290 875,Dərnəgül m.,3 otaqlı,116.3 m²,Kompleks,4/14 mərtəbə
240 226,Dərnəgül m.,3 otaqlı,90.6 m²,Kompleks,6/13 mərtəbə
277 095,Dərnəgül m.,3 otaqlı,113.1 m²,Kompleks,4/13 mərtəbə
293 951,Dərnəgül m.,3 otaqlı,119.9 m²,Kompleks,4/13 mərtəbə
231 712,Dərnəgül m.,2 otaqlı,89.1 m²,Kompleks,6/13 mərtəbə
135 000,Pirşağı q.,9 sot,,Agentlik,
442 255,Sea Breeze q.,3 otaqlı,94.6 m²,Kompleks,2/9 mərtəbə
316 000,Nizami m.,2 otaqlı,77 m²,Agentlik,5/12 mərtəbə
325 000,Memar Əcəmi m.,3 otaqlı,122 m²,Agentlik,12/14 mərtəbə
277 236,Nardaran q.,1 otaqlı,60.4 m²,Kompleks,17/24 mərtəbə
145 000,Xətai r.,2 otaqlı,56 m²,,2/4 mərtəbə
8 800,İsmayıllı,10 sot,,,
325 000,Gənclik m.,3 otaqlı,80 m²,Agentlik,9/14 mərtəbə
292 000,Koroğlu m.,2 otaqlı,117.2 m²,Agentlik,9/16 mərtəbə
550 000,Nəsimi m.,4 otaqlı,240 m²,Agentlik,10/16 mərtəbə
726 000,Nizami m.,4 otaqlı,165 m²,Agentlik,19/20 mərtəbə
264 999,Gənclik m.,3 otaqlı,80 m²,Agentlik,5/9 mərtəbə
580 000,Nərimanov r.,4 otaqlı,200 m²,Agentlik,9/20 mərtəbə
185 000,Gənclik m.,2 otaqlı,45 m²,Agentlik,6/8 mərtəbə
278 000,Həzi Aslanov q.,3 otaqlı,97 m²,Agentlik,4/19 mərtəbə
950 000,Elmlər Akademiyası m.,4 otaqlı,185 m²,Agentlik,12/14 mərtəbə
188 000,Nərimanov r.,3 otaqlı,75 m²,Agentlik,3/5 mərtəbə
165 000,Gənclik m.,1 otaqlı,50 m²,Agentlik,2/9 mərtəbə
298 500,Elmlər Akademiyası m.,2 otaqlı,96.4 m²,,11/19 mərtəbə
315 000,Sea Breeze q.,2 otaqlı,82.8 m²,Agentlik,2/6 mərtəbə
289 000,Əhmədli m.,3 otaqlı,90 m²,Agentlik,12/15 mərtəbə
230 000,Biləcəri q.,6 otaqlı,240 m²,Agentlik,
465 000,Nəriman Nərimanov m.,3 otaqlı,120 m²,Agentlik,6/16 mərtəbə
124 000,Sumqayıt,2 otaqlı,92 m²,,4/16 mərtəbə
275 000,Nizami m.,3 otaqlı,85 m²,Agentlik,6/14 mərtəbə
112 000,Neftçilər m.,1 otaqlı,35 m²,,5/5 mərtəbə
153 000,Sumqayıt,1 otaqlı,66 m²,,6/14 mərtəbə
185 000,İçəri Şəhər m.,2 otaqlı,45 m²,Agentlik,5/5 mərtəbə
177 000,Azadlıq Prospekti m.,2 otaqlı,65 m²,Agentlik,8/9 mərtəbə
420 000,28 May m.,3 otaqlı,95 m²,Agentlik,15/18 mərtəbə
109 000,Qara Qarayev m.,1 otaqlı,35 m²,,5/5 mərtəbə
260 000,Bayıl q.,3 otaqlı,130 m²,,
200 000,Mərdəkan q.,4 otaqlı,150 m²,Agentlik,
217 000,Şüvəlan q.,3 otaqlı,120 m²,Agentlik,
215 000,Şüvəlan q.,4 otaqlı,200 m²,Agentlik,
220 000,Şüvəlan q.,4 otaqlı,150 m²,Agentlik,
204 000,Mərdəkan q.,4 otaqlı,145 m²,Agentlik,
380 000,Mərdəkan q.,5 otaqlı,220 m²,Agentlik,
235 000,Mərdəkan q.,4 otaqlı,160 m²,Agentlik,
195 000,Şüvəlan q.,4 otaqlı,135 m²,Agentlik,
195 000,Mərdəkan q.,4 otaqlı,150 m²,Agentlik,
238 000,Mərdəkan q.,4 otaqlı,165 m²,Agentlik,
168 000,Suraxanı r.,2 otaqlı,70 m²,Agentlik,6/12 mərtəbə
245 000,8 Noyabr m.,3 otaqlı,100 m²,Agentlik,2/17 mərtəbə
180 000,Qara Qarayev m.,2 otaqlı,64 m²,,16/17 mərtəbə
260 000,Zabrat q.,7 otaqlı,185 m²,,
245 000,Memar Əcəmi m.,2 otaqlı,90 m²,,8/17 mərtəbə
148 000,Memar Əcəmi m.,3 otaqlı,45 m²,Agentlik,3/5 mərtəbə
128 900,Xırdalan,3 otaqlı,90 m²,,1/9 mərtəbə
160 000,Mərdəkan q.,4 otaqlı,100 m²,Agentlik,
265 000,Mərdəkan q.,4 otaqlı,160 m²,Agentlik,
555 000,Mərdəkan q.,5 otaqlı,300 m²,Agentlik,
378 000,Mərdəkan q.,4 otaqlı,180 m²,Agentlik,
552 000,Mərdəkan q.,6 otaqlı,285 m²,Agentlik,
225 000,Buzovna q.,4 otaqlı,140 m²,Agentlik,
365 000,Şüvəlan q.,6 otaqlı,280 m²,Agentlik,
385 000,Mərdəkan q.,4 otaqlı,170 m²,Agentlik,
325 000,Buzovna q.,4 otaqlı,170 m²,Agentlik,
150 000,Zığ q.,5 otaqlı,154 m²,Agentlik,
250 000,Digah q.,17 sot,,,
145 000,NZS q.,6 otaqlı,130 m²,Agentlik,
140 000,Bayıl q.,2 otaqlı,54 m²,Agentlik,2/5 mərtəbə
224 500,Elmlər Akademiyası m.,3 otaqlı,75 m²,Agentlik,3/5 mərtəbə
60 000,Quba,20 sot,,,
259 000,Buzovna q.,3 otaqlı,130 m²,,
338 000,Elmlər Akademiyası m.,2 otaqlı,68 m²,,8/17 mərtəbə
140 000,Dədə Qorqud q.,3 otaqlı,101 m²,,
170 000,Xətai r.,3 otaqlı,115 m²,Agentlik,2/3 mərtəbə
390 000,Nəriman Nərimanov m.,3 otaqlı,113.7 m²,Agentlik,7/17 mərtəbə
169 000,İnşaatçılar m.,2 otaqlı,68 m²,Agentlik,5/12 mərtəbə
320 000,Nizami m.,4 otaqlı,130 m²,,19/19 mərtəbə
580 000,8 Noyabr m.,4 otaqlı,175 m²,,6/17 mərtəbə
154 500,Massiv D q.,3 otaqlı,70 m²,Agentlik,14/18 mərtəbə
242 000,Memar Əcəmi m.,3 otaqlı,90 m²,Agentlik,17/17 mərtəbə
179 000,20 Yanvar m.,2 otaqlı,80 m²,,19/22 mərtəbə
360 000,Gənclik m.,3 otaqlı,120 m²,Agentlik,6/12 mərtəbə
222 000,Sea Breeze q.,1 otaqlı,49.9 m²,Agentlik,5/9 mərtəbə
163 000,Həzi Aslanov m.,2 otaqlı,68 m²,Agentlik,9/17 mərtəbə
157 000,Səbail r.,2 otaqlı,66 m²,Agentlik,2/5 mərtəbə
350 000,Nəsimi r.,2 otaqlı,95 m²,,10/17 mərtəbə
325 000,Nəriman Nərimanov m.,3 otaqlı,96 m²,Agentlik,12/17 mərtəbə
470 000,28 May m.,3 otaqlı,171 m²,Agentlik,12/22 mərtəbə
233 000,Bayıl q.,3 otaqlı,95 m²,,4/17 mərtəbə
175 000,Nəsimi r.,2 otaqlı,56 m²,Agentlik,5/5 mərtəbə
285 000,İnşaatçılar m.,2 otaqlı,76 m²,Agentlik,15/18 mərtəbə
430 000,28 May m.,2 otaqlı,95 m²,,3/17 mərtəbə
85 000,Masazır q.,2 otaqlı,57 m²,Agentlik,1/6 mərtəbə
365 000,İnşaatçılar m.,3 otaqlı,98 m²,,12/14 mərtəbə
365 000,Şah İsmayıl Xətai m.,3 otaqlı,103 m²,,12/16 mərtəbə
147 500,Yeni Günəşli q.,3 otaqlı,107 m²,Agentlik,9/9 mərtəbə
137 000,Elmlər Akademiyası m.,2 otaqlı,50 m²,Agentlik,3/5 mərtəbə
341 000,Şah İsmayıl Xətai m.,3 otaqlı,156 m²,Agentlik,13/24 mərtəbə
402 798,Sea Breeze q.,2 otaqlı,71.8 m²,Kompleks,7/9 mərtəbə
155 000,Nəriman Nərimanov m.,40 m²,,,
506 335,Sea Breeze q.,2 otaqlı,78.4 m²,Kompleks,2/5 mərtəbə
300 000,Qara Qarayev m.,3 otaqlı,98 m²,Agentlik,3/17 mərtəbə
98 900,Xırdalan,2 otaqlı,60 m²,,5/5 mərtəbə
370 000,Qara Qarayev m.,4 otaqlı,140 m²,Agentlik,15/17 mərtəbə
268 000,28 May m.,3 otaqlı,145 m²,Agentlik,19/20 mərtəbə
294 900,7-ci mikrorayon q.,5 otaqlı,345 m²,Agentlik,19/19 mərtəbə
184 999,9-cu mikrorayon q.,2 otaqlı,65 m²,Agentlik,7/9 mərtəbə
153 000,Xırdalan,2 otaqlı,95.6 m²,,3/16 mərtəbə
178 000,Qara Qarayev m.,2 otaqlı,65 m²,Agentlik,11/17 mərtəbə
640 000,Elmlər Akademiyası m.,3 otaqlı,120 m²,Agentlik,14/17 mərtəbə
13 000,Bərdə,3 otaqlı,120 m²,,
299 000,20 Yanvar m.,3 otaqlı,134 m²,Agentlik,5/19 mərtəbə
127 000,Avtovağzal m.,2 otaqlı,50 m²,,15/18 mərtəbə
125 000,Binəqədi r.,2 otaqlı,50 m²,Agentlik,7/9 mərtəbə
195 000,Həzi Aslanov m.,3 otaqlı,87 m²,Agentlik,13/18 mərtəbə
74 900,Xırdalan,4 otaqlı,100 m²,,
81 900,Xırdalan,2 otaqlı,46 m²,,5/5 mərtəbə
130 000,Nəriman Nərimanov m.,2 otaqlı,35 m²,,5/5 mərtəbə
145 000,Nərimanov r.,1 otaqlı,32 m²,,3/5 mərtəbə
209 900,Binəqədi q.,3 otaqlı,114 m²,,3/9 mərtəbə
200 000,Binə q.,5 otaqlı,200 m²,,
57 120,Masazır q.,1 otaqlı,47.6 m²,,5/12 mərtəbə
185 000,Əhmədli m.,2 otaqlı,78 m²,Agentlik,7/17 mərtəbə
140 000,Bayıl q.,2 otaqlı,54 m²,Agentlik,2/5 mərtəbə
410 000,Xətai r.,3 otaqlı,150 m²,,3/18 mərtəbə
220 000,Şah İsmayıl Xətai m.,1 otaqlı,76 m²,Agentlik,6/24 mərtəbə
132 000,Elmlər Akademiyası m.,1 otaqlı,35 m²,,3/5 mərtəbə
